question,source_type,has_numeric,has_category,has_datetime,has_text,intent,answer_depth,operation,best_chart,chart_required,needs_numeric,needs_category,needs_datetime,needs_text
Which campaign performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down orders by product,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show speed by device,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare patient count by gender,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find duplicate rows,csv,true,true,true,false,data_quality,data_quality_answer,duplicate_check,table,false,false,false,false,false
Show error count trend over time,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Check null values,csv,true,true,true,false,data_quality,data_quality_answer,null_check,table,false,false,false,false,false
What is the highest temperature value?,parquet,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
What is the highest patient count value?,csv,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Rank regions by total revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show balance by department,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down discount by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the highest performance score value?,excel,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Rank regions by total latency,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Count the records,json,true,true,true,true,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
Compare spend across campaigns,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show attendance by student,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show yearly request count trend,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show correlation between pressure and sensor value,parquet,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Which location performed best?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Calculate total speed,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show histogram of profit,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show total treatment cost,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Which vendor performed best?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top countrys by cart value,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top regions by spend,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the minimum rating?,json,true,true,true,true,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Compare bonus by location,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare orders by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show treatment cost trend over time,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Plot loss by month,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
What is the distribution of performance score?,excel,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
What caused the spike in sales?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Rank customers by total orders,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare sensor value by device,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Analyze this dataset,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Which audience has the highest conversion rate?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare income and profit,parquet,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Show latency by status code,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show top regions by review score,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare balance across accounts,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What caused the spike in error count?,json,true,true,true,true,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show sensor value by machine,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show histogram of clicks,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Which country performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare loss across departments,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Calculate total error count,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare cart value and discount,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Show distribution of attrition rate,excel,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show range of review score values,json,true,true,true,true,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Compare temperature across locations,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare review score by product,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Calculate total humidity,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Are there outliers in pressure?,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Top 10 services by latency,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Why did cart value drop?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Top 10 regions by impressions,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show the schema,parquet,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Which teacher performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Count the records,parquet,true,true,true,false,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
What is the mean profit?,parquet,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Plot profit by month,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Which customer performed best?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group age by department,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Top 10 hospitals by age,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 accounts by income,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top genders by salary,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show salary trend over time,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show top categorys by expense,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare impressions across regions,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find outliers in spend,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
What is the total pass rate?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Top 10 endpoints by error count,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which campaign has the highest clicks?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the distribution of impressions?,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Which region performed best?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the total balance?,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare latency by region,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which product performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show data quality summary,json,true,true,true,true,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Compare discount by product,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find reason for orders increase,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Break down humidity by device,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare income across regions,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the overall review score?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare orders across customers,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare spend by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show spread of expense,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Group impressions by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group sentiment score by region,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which region has the highest expense?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show expense by account,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Plot orders by month,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show monthly expense trend,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show the schema,json,true,true,true,true,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Group temperature by location,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the highest treatment cost value?,csv,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
What is the average sensor value?,parquet,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Check data quality,csv,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Find missing data,parquet,true,true,true,false,data_quality,data_quality_answer,null_check,table,false,false,false,false,false
Top 10 status codes by latency,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down revenue by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show pass rate trend over time,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Compare revenue across regions,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show monthly request count trend,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show yearly latency trend,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Which service has the highest response time?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the lowest response time value?,json,true,true,true,true,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
How has review score changed over time?,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Group cart value by customer,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the lowest amount value?,csv,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Compare latency by service,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Is there a relationship between amount and profit?,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Explain salary decline,excel,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Top 10 channels by revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare loss across regions,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare impressions across channels,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which category has the highest rating?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Predict next month bonus,excel,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
What caused the spike in bonus?,excel,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Detect unusual loss values,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Top 10 regions by revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which location has the highest performance score?,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show yearly pressure trend,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
which produt has the highest sales,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the total response time?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare conversion rate by campaign,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group orders by customer,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What fields are present?,csv,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
What caused the spike in cart value?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Group conversion rate by audience,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show me the column names,json,true,true,true,true,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Show response time by region,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the distribution of discount?,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
What is the mean revenue?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Find outliers in response time,json,true,true,true,true,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Detect anomalies in server logs,json,true,true,true,true,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show top locations by bonus,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What caused the spike in profit?,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Compare error count by region,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Calculate average impressions,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
What is the overall response time?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare clicks by audience,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which diagnosis performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down loss by region,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Top 10 machines by temperature,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top status codes by response time,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which zone performed best?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the lowest salary value?,excel,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
What is the maximum sensor value?,parquet,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
How has income changed over time?,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
What is the average speed?,parquet,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Show top regions by balance,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare spend by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare speed across devices,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down sales by customer,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare attrition rate by location,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which region performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show patient count by gender,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Why did revenue drop?,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Are there outliers in profit?,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
What is the mean rating?,json,true,true,true,true,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Compare discount across customers,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare salary across job roles,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Detect unusual review score values,json,true,true,true,true,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Show orders by category,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the lowest profit value?,csv,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
How much age do we have?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Give me a summary of this dataset,json,true,true,true,true,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Are amount and profit related?,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Check if this data is clean,csv,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Which school has the highest score?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank managers by total salary,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show correlation between treatment cost and length of stay,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Group profit by region,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which country performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show salary by job role,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare balance by department,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show top departments by loss,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group amount by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which manager performed best?,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show spread of response time,json,true,true,true,true,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Calculate average balance,parquet,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Compare expense across departments,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the average treatment cost?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Rank regions by total rating,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the distribution of expense?,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Compare impressions by audience,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the average discount?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Show temperature by machine,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the highest sentiment score value?,json,true,true,true,true,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Show monthly bonus trend,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
How many records are in this dataset?,json,true,true,true,true,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
Which region performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which device has the highest speed?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which zone has the highest humidity?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank locations by total humidity,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
How has speed changed over time?,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Top 10 diagnosiss by treatment cost,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show monthly speed trend,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Compare rating across categorys,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show histogram of revenue,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Break down performance score by department,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find duplicate rows,parquet,true,true,true,false,data_quality,data_quality_answer,duplicate_check,table,false,false,false,false,false
Detect unusual pass rate values,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Plot quantity by month,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Break down quantity by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Calculate total pass rate,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Which channel has the highest revenue?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank categorys by total revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank job roles by total salary,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
How much pass rate do we have?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show spend by campaign,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down bonus by gender,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which location has the highest humidity?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show performance score by job role,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show loss trend over time,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Calculate total sensor value,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show range of score values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show range of revenue values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
What is the mean attendance?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Are there invalid values?,csv,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
What is the distribution of speed?,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Break down patient count by gender,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Do a full analysis of this dataset,json,true,true,true,true,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Show spread of revenue,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Compare clicks and impressions,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Compare bonus by department,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show data quality summary,csv,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Show humidity by location,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show clicks by campaign,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Top 10 devices by sensor value,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare speed across locations,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the row count?,parquet,true,true,true,false,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
Find duplicate rows,json,true,true,true,true,data_quality,data_quality_answer,duplicate_check,table,false,false,false,false,false
Which doctor has the highest patient count?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare sales across regions,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which customer has the highest cart value?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
show monthy revenu trend,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show data quality summary,csv,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
What is the total revenue?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare salary across genders,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the mean length of stay?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
What is the maximum sentiment score?,json,true,true,true,true,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Which campaign performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Find reason for sentiment score increase,json,true,true,true,true,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
What is the mean clicks?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Show impressions by date,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
